,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),Tc (K)(KKR-FULL)
49806,WRuGa,4ac2a1ae-4704-4c98-a591-95c2a6b29e15,"[[2.68160508, 2.68160508, -0.0], [-2.68160508, 2.68160508, -0.0], [-0.0, -0.0, 7.25038954]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[74 74 44 44 31 31],-7.86449418,0.4975403749999998,
25088,Zn2RhSn,9f31162d-4a5f-4d7a-b80c-5aec46416fca,"[[2.77707587, 2.77707587, -0.0], [-2.77707587, 2.77707587, -0.0], [0.0, -0.0, 8.41487179]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[30 30 30 30 45 45 50 50],-3.50554020875,-0.1772405999999997,
15760,Fe2HfPb,31dc7a1d-c7d0-4463-81d3-97762fd9cca5,"[[-0.0, 3.14775857, 3.14775857], [3.14775857, 0.0, 3.14775857], [3.14775857, 3.14775857, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[26 26 72 82],-7.391595375,0.1201719725000005,
69431,Cr2HfAs,6f7d606b-d75f-4c2b-a4f2-284c05243807,"[[2.72588452, 2.72588452, 0.0], [-2.72588452, 2.72588452, 0.0], [0.0, 0.0, 8.40063198]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 24 24 72 72 33 33],-8.39061974625,0.0186351049999995,
94330,Ta2CdSb,1a8e9a56-e7fc-4321-a2f4-91061a29a2c0,"[[2.96240054, 2.96240054, 0.0], [-2.96240054, 2.96240054, -0.0], [0.0, 0.0, 8.96840756]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[73 73 73 73 48 48 51 51],-6.754452175,0.3704252124999998,
46461,HfOsSi,38140d19-5ade-4a4f-9d77-a1c030efb68b,"[[2.52687925, 2.52687925, -0.0], [-2.52687925, 2.52687925, -0.0], [0.0, 0.0, 8.58174104]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[72 72 76 76 14 14],-8.995399738333333,-0.1363712166666661,
85103,Ru2MoAs,4a39e387-2ab2-4c53-ba3e-df2e6f85772c,"[[2.67741578, 2.67741578, 0.0], [-2.67741578, 2.67741578, 0.0], [-0.0, -0.0, 8.08182845]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 42 42 33 33],-8.385855025,0.1290546862500008,
21698,CuFeBi,f7f7f06c-7766-41a2-8859-21f7e34c40c4,"[[3.13567003, 3.13567003, -0.0], [-3.13567003, 3.13567003, 0.0], [0.0, 0.0, 5.9487221]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[29 29 26 26 83 83],-4.766589306666667,0.5329222349999997,
61138,LaNbPb,45e89b7d-01cb-447f-be1d-438bf61b81d2,"[[2.886545, 2.886545, 0.0], [-2.886545, 2.886545, 0.0], [0.0, 0.0, 11.04047626]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[57 57 41 41 82 82],-5.802484236666667,0.3736134949999996,
40513,Ag2CuGe,ec23ea66-8a4f-4d54-b56f-80475e23cc95,"[[2.845963, 2.845963, 0.0], [-2.845963, 2.845963, 0.0], [0.0, 0.0, 8.04310173]]","[[0.5, 3.901045180928764e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.5, 3.901045180928764e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]",[47 47 47 47 29 29 32 32],-3.3038095925,0.1210766525000002,
