,composition,UUID,cell,positions,numbers
99811,Ir2CdIn,6f11311d-df8c-4319-bcee-774b8fc4765b,"[[2.88698815, 2.88698815, -0.0], [-2.88698815, 2.88698815, -0.0], [-0.0, -0.0, 8.29262956]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[77 77 77 77 48 48 49 49]
98634,Os2PtIn,7e1d6778-7c61-4511-b6de-da0c01cb35be,"[[2.86023969, 2.86023969, 0.0], [-2.86023969, 2.86023969, 0.0], [-0.0, -0.0, 7.7888131]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[76 76 76 76 78 78 49 49]
21077,NiAuIn,99a0b624-74cd-4c5c-b767-6ef774df947c,"[[3.02946439, 3.02946439, -0.0], [-3.02946439, 3.02946439, 0.0], [0.0, -0.0, 6.10027029]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[28 28 79 79 49 49]
4728,Ti2TaPb,80b65886-4016-43b6-b48d-181b51b6f5dc,"[[3.3294019, 3.3294019, -0.0], [-3.3294019, 3.3294019, 0.0], [0.0, 0.0, 6.69005258]]","[[0.5, 3.334602003516477e-17, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.49999999999999983, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.49999999999999983, 0.5, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.5, 0.49999999999999983]]",[22 22 22 22 73 73 82 82]
74109,Co2OsAl,f6fa4158-f41a-4d70-96e5-a29fb48e9747,"[[2.59292991, 2.59292991, -0.0], [-2.59292991, 2.59292991, 0.0], [-0.0, -0.0, 7.236282]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 76 76 13 13]
10542,Cr2IrSb,3151f9e1-8fed-4660-b343-4f6f53131102,"[[2.80763832, 2.80763832, 0.0], [-2.80763832, 2.80763832, 0.0], [-0.0, 0.0, 7.68949728]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 24 24 77 77 51 51]
102788,Au2RePb,db5bfa70-4a96-4e46-b739-75601942bdbf,"[[3.07775346, 3.07775346, 0.0], [-3.07775346, 3.07775346, -0.0], [-0.0, 0.0, 8.00482864]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[79 79 79 79 75 75 82 82]
74281,Co2PtP,66606f82-96c8-4e1d-b481-073bcaa3d155,"[[2.61494381, 2.61494381, -0.0], [-2.61494381, 2.61494381, -0.0], [0.0, -0.0, 7.22059935]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 78 78 15 15]
84222,Ru2ScSn,ec524e31-19dd-43a8-bb73-8443d933d04f,"[[2.73271417, 2.73271417, -0.0], [-2.73271417, 2.73271417, 0.0], [-0.0, -0.0, 9.01340303]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 21 21 50 50]
52768,OsFeAs,7d057dac-a1e5-4a3c-907d-44fe3701d1a6,"[[-0.0, 2.86756119, 2.86756119], [2.86756119, 0.0, 2.86756119], [2.86756119, 2.86756119, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[76 26 33]
39635,PdPtGe,fa5ef8fc-a404-4dec-9f12-9d58a4a4481e,"[[2.55527297, 2.55527297, 0.0], [-2.55527297, 2.55527297, 0.0], [-0.0, -0.0, 8.24299543]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[46 46 78 78 32 32]
27290,Y2PdSi,7ee72cfb-98b7-41bf-96cc-e08d81278d65,"[[3.55419714, 3.55419714, -0.0], [-3.55419714, 3.55419714, -0.0], [-0.0, -0.0, 6.91845064]]","[[0.5, 3.1236956783583387e-17, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 3.1236956783583387e-17, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5000000000000002, 0.5000000000000002, 0.0], [0.0, 0.0, 0.0], [0.5000000000000002, 0.5000000000000002, 0.5]]",[39 39 39 39 46 46 14 14]
84930,Ru2ZrP,fe3916ea-fc5b-44d6-a9b0-12d165d983c5,"[[2.94329077, 2.94329077, 0.0], [-2.94329077, 2.94329077, 0.0], [0.0, -0.0, 6.88577738]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 40 40 15 15]
100837,Pt2YP,42cce1eb-2172-4359-8885-c6256df975d3,"[[2.81035462, 2.81035462, 0.0], [-2.81035462, 2.81035462, -0.0], [-0.0, -0.0, 8.93343974]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[78 78 78 78 39 39 15 15]
