,composition,UUID,cell,positions,numbers
84178,Ru2ScAl,739dbdda-2427-4c0b-a0f1-3bdafc7f04ad,"[[2.6129526, 2.6129526, -0.0], [-2.6129526, 2.6129526, 0.0], [0.0, -0.0, 9.02025018]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 21 21 13 13]
56944,Pt2RhSn,d7442fcc-a3fe-4bef-9140-40da1dae7ac0,"[[2.88827703, 2.88827703, 0.0], [-2.88827703, 2.88827703, 0.0], [0.0, 0.0, 7.85122725]]","[[0.5, 3.843893826989154e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.843893826989154e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.5, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.5, 0.5]]",[78 78 78 78 45 45 50 50]
78861,Y2RhSn,18a0f118-6f95-435d-b320-b590d04e3616,"[[3.0247973, 3.0247973, 0.0], [-3.0247973, 3.0247973, 0.0], [-0.0, -0.0, 10.16042511]]","[[0.5, 3.6704047065406884e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.7500000000000001], [0.0, 0.0, 0.5], [0.49999999999999983, 0.5, 0.0], [0.5, 3.6704047065406884e-17, 0.7500000000000001], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.5, 0.5]]",[39 39 39 39 45 45 50 50]
20461,Ni2AgPb,9f3d9fbe-299c-4d4f-a904-264baee59f03,"[[3.09684465, 3.09684465, -0.0], [-3.09684465, 3.09684465, -0.0], [-0.0, 0.0, 6.50648443]]","[[0.5, 0.0, 0.25], [2.220446049250313e-16, 0.5000000000000001, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[28 28 28 28 47 47 82 82]
87446,Rh2PtSi,bec77efc-a9f2-438b-adbe-cabb7ac39d7c,"[[2.74000748, 2.74000748, 0.0], [-2.74000748, 2.74000748, 0.0], [-0.0, 0.0, 7.47638036]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[45 45 45 45 78 78 14 14]
62143,La2PtSb,6a1db5b1-eacb-4b5c-9713-d92cc58445a4,"[[3.81262933, 3.81262933, -0.0], [-3.81262933, 3.81262933, -0.0], [0.0, -0.0, 7.65718024]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[57 57 57 57 78 78 51 51]
88905,AgTiAl,08d57463-31fb-408a-9609-67e5921d8173,"[[3.05726212, 3.05726212, 0.0], [-3.05726212, 3.05726212, 0.0], [0.0, 0.0, 6.13559997]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[47 47 22 22 13 13]
3423,Ti2CoGe,ec9f1274-0d5a-4597-a163-93f3c559cbc2,"[[2.55520152, 2.55520152, 0.0], [-2.55520152, 2.55520152, -0.0], [0.0, 0.0, 8.82374096]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[22 22 22 22 27 27 32 32]
96857,Re2AgAs,93c43c49-d21c-46fd-b73d-01a32538545a,"[[2.89081927, 2.89081927, 0.0], [-2.89081927, 2.89081927, -0.0], [0.0, 0.0, 7.53556584]]","[[0.5, 3.8405134355741187e-17, 0.24999999999999997], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.49999999999999983], [0.49999999999999983, 0.49999999999999994, 0.0], [0.5, 3.8405134355741187e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.24999999999999997], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.49999999999999983]]",[75 75 75 75 47 47 33 33]
101518,Pt2OsSb,58029f7a-1696-4dc6-bd90-6af5c1512e7f,"[[2.98723675, 2.98723675, 0.0], [-2.98723675, 2.98723675, -0.0], [-0.0, -0.0, 7.45638111]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[78 78 78 78 76 76 51 51]
29963,ZrIrSi,5409a657-0d5c-4c02-b2c1-c2ae345d4a22,"[[2.56716808, 2.56716808, 0.0], [-2.56716808, 2.56716808, 0.0], [0.0, -0.0, 8.49581173]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[40 40 77 77 14 14]
39615,PdPtAl,fed76248-c35e-4277-ab64-da7cf8cf4e5d,"[[2.56490954, 2.56490954, 0.0], [-2.56490954, 2.56490954, -0.0], [-0.0, -0.0, 8.04811667]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[46 46 78 78 13 13]
92222,Hf2ZrP,e81b5e23-7e10-4e4b-ba37-11ee94e0253d,"[[2.90998922, 2.90998922, 0.0], [-2.90998922, 2.90998922, -0.0], [-0.0, -0.0, 9.20785301]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[72 72 72 72 40 40 15 15]
59297,Au2TaSn,bd25652a-9e33-4e08-9d6b-ac8b8b2afff3,"[[2.92765045, 2.92765045, -0.0], [-2.92765045, 2.92765045, 0.0], [-0.0, -0.0, 8.88641982]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]",[79 79 79 79 73 73 50 50]
86658,Rh2YTl,b1c2f9b1-af2d-4f55-985f-8be9d1f222e6,"[[2.82711371, 2.82711371, 0.0], [-2.82711371, 2.82711371, 0.0], [-0.0, 0.0, 9.43463009]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[45 45 45 45 39 39 81 81]
28391,ZrCrGe,7e4c2943-e8f9-46e4-8604-7846925682ee,"[[2.52004806, 2.52004806, 0.0], [-2.52004806, 2.52004806, 0.0], [0.0, 0.0, 9.07267226]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]",[40 40 24 24 32 32]
4873,Ti2OsAl,d16accad-e8af-48ee-b707-8cdea496838d,"[[0.0, 3.13060352, 3.13060352], [3.13060352, -0.0, 3.13060352], [3.13060352, 3.13060352, 0.0]]","[[0.25000000000000017, 0.25000000000000017, 0.24999999999999983], [0.7500000000000003, 0.7500000000000003, 0.7499999999999996], [0.5000000000000002, 0.5000000000000002, 0.4999999999999998], [0.0, 0.0, 0.0]]",[22 22 76 13]
61184,La2MoAs,b046b057-78c6-4158-848b-68cc01b8ca15,"[[3.68448177, 3.68448177, 0.0], [-3.68448177, 3.68448177, 0.0], [0.0, 0.0, 7.41200143]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[57 57 57 57 42 42 33 33]
81654,Nb2MnP,a720a454-e346-4e37-8537-4704980f8417,"[[2.54710978, 2.54710978, 0.0], [-2.54710978, 2.54710978, 0.0], [0.0, 0.0, 9.12238508]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[41 41 41 41 25 25 15 15]
102233,Au2YBi,9525d203-048f-4846-80c4-0027d12bc197,"[[3.07626759, 3.07626759, -0.0], [-3.07626759, 3.07626759, -0.0], [-0.0, -0.0, 10.02117497]]","[[0.5, 3.6089936656815887e-17, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.4999999999999999], [0.5000000000000002, 0.5000000000000002, 0.0], [0.5, 3.6089936656815887e-17, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5000000000000002, 0.5000000000000002, 0.4999999999999999]]",[79 79 79 79 39 39 83 83]
8047,Cr2ScAs,e31fb057-bf70-4cb1-b8ab-c76566da63d6,"[[2.78641404, 2.78641404, 0.0], [-2.78641404, 2.78641404, 0.0], [0.0, 0.0, 8.18068695]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 24 24 21 21 33 33]
90529,Cd2ZnIn,f4005a4a-0cc9-4a58-8b78-c05d76936740,"[[3.13421509, 3.13421509, 0.0], [-3.13421509, 3.13421509, 0.0], [-0.0, -0.0, 9.01524331]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[48 48 48 48 30 30 49 49]
6762,VNbSb,05632b62-7249-4381-bf1b-2fabc8a2af32,"[[3.130013, 3.130013, -0.0], [-3.130013, 3.130013, 0.0], [0.0, 0.0, 6.26514878]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[23 23 41 41 51 51]
36130,RhVAs,f1047d52-0baa-4d37-80a1-8b9d5e5a600a,"[[-0.0, 2.91517776, 2.91517776], [2.91517776, -0.0, 2.91517776], [2.91517776, 2.91517776, 0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[45 23 33]
28890,ZrZnAs,6e058d82-542e-4005-be82-03ed73bb1972,"[[2.70908065, 2.70908065, 0.0], [-2.70908065, 2.70908065, 0.0], [0.0, 0.0, 8.42348473]]","[[0.4999999999999999, 2.7755575615628907e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.7500000000000001], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[40 40 30 30 33 33]
32664,MoFeSn,d2a9c5bd-1d55-4b40-9b97-3dc2890b1b3e,"[[3.03302158, 3.03302158, 0.0], [-3.03302158, 3.03302158, 0.0], [0.0, 0.0, 6.07122957]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 26 26 50 50]
73614,Co2RhGa,31bf8a98-15b3-4f69-bf2c-fc8387d6344b,"[[2.90527914, 2.90527914, 0.0], [-2.90527914, 2.90527914, 0.0], [0.0, 0.0, 5.96087303]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 45 45 31 31]
17584,CoYAl,6cfa3670-378d-4ad0-b856-a57438b15619,"[[3.10309357, 3.10309357, 0.0], [-3.10309357, 3.10309357, -0.0], [0.0, 0.0, 6.20754639]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 39 39 13 13]
83101,Mo2FeSi,3cc0db03-5847-4cca-ad49-f009c252f67b,"[[0.0, 2.99959774, 2.99959774], [2.99959774, 0.0, 2.99959774], [2.99959774, 2.99959774, -0.0]]","[[0.25, 0.25, 0.2499999999999999], [0.5, 0.5, 0.4999999999999998], [0.7500000000000003, 0.7500000000000003, 0.7499999999999996], [0.0, 0.0, 0.0]]",[42 42 26 14]
5921,VFeSb,7e09760f-4946-4a57-ba2a-68c0d5f1c31c,"[[0.0, 2.95801029, 2.95801029], [2.95801029, 0.0, 2.95801029], [2.95801029, 2.95801029, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[23 26 51]
86505,Rh2CuP,0b3f16c5-4e6b-413d-b666-673b79bf4131,"[[2.85239946, 2.85239946, -0.0], [-2.85239946, 2.85239946, 0.0], [0.0, 0.0, 6.27527441]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[45 45 45 45 29 29 15 15]
90866,Cd2RhTl,292b90d1-51a9-4f66-93e0-066608f52217,"[[2.99374011, 2.99374011, -0.0], [-2.99374011, 2.99374011, -0.0], [-0.0, -0.0, 8.83534906]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[48 48 48 48 45 45 81 81]
9674,CrRuIn,2f6419b7-446a-4a2d-922d-dec72204982b,"[[2.99882941, 2.99882941, 0.0], [-2.99882941, 2.99882941, 0.0], [-0.0, -0.0, 5.97592208]]","[[0.4999999999999999, 2.7755575615628907e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.9999999999999998, 2.0359867110457484e-16, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[24 24 44 44 49 49]
35302,Ru2PdSn,e21f5377-5d44-49c6-ac88-ad00c14b6261,"[[2.88141275, 2.88141275, 0.0], [-2.88141275, 2.88141275, -0.0], [-0.0, -0.0, 7.57239962]]","[[0.4999999999999999, 3.8530509890509664e-17, 0.24999999999999997], [0.9999999999999999, 0.49999999999999983, 0.75], [0.4999999999999999, 3.8530509890509664e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.49999999999999983]]",[44 44 44 44 46 46 50 50]
52176,Re3As,8ef5f34b-9abe-4c69-bb55-a41247e29b54,"[[3.13015653, 3.13015653, 0.0], [-3.13015653, 3.13015653, -0.0], [-0.0, -0.0, 6.23177362]]","[[0.49999999999999983, 3.546861040285281e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.7500000000000001], [0.49999999999999983, 3.546861040285281e-17, 0.7500000000000001], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]",[75 75 75 75 75 75 33 33]
88903,Ag2ScBi,5e28e700-e7e0-4eb1-a5fc-17e3470d9424,"[[3.52101761, 3.52101761, -0.0], [-3.52101761, 3.52101761, 0.0], [0.0, 0.0, 7.06823917]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[47 47 47 47 21 21 83 83]
90748,Cd2MoSn,0768ab30-192e-402f-8498-52f10f5b041b,"[[2.94999629, 2.94999629, -0.0], [-2.94999629, 2.94999629, 0.0], [-0.0, 0.0, 9.1214333]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[48 48 48 48 42 42 50 50]
42412,CdCrPb,b80ebeed-5c78-4b14-a54f-07306408d2ec,"[[-0.0, 3.39688366, 3.39688366], [3.39688366, 0.0, 3.39688366], [3.39688366, 3.39688366, -0.0]]","[[0.25, 0.25, 0.24999999999999997], [0.5, 0.5, 0.4999999999999998], [0.0, 0.0, 0.0]]",[48 24 82]
64214,LuOsIn,7b424a4e-5802-41e9-90a3-94b03df6a350,"[[2.74231977, 2.74231977, 0.0], [-2.74231977, 2.74231977, -0.0], [0.0, 0.0, 9.26518704]]","[[0.4999999999999999, 2.7755575615628907e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[71 71 76 76 49 49]
35292,Ru2PdAs,2517baa9-7c40-4588-b56a-9de5fe907ffa,"[[3.06429788, 3.06429788, -0.0], [-3.06429788, 3.06429788, 0.0], [0.0, 0.0, 6.13833966]]","[[0.49999999999999983, 3.623091057404499e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.49999999999999983, 3.623091057404499e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]",[44 44 44 44 46 46 33 33]
17484,Co2ZnGa,e6be922b-71e1-46fd-9b69-8bc3a1a4ad58,"[[2.54595412, 2.54595412, 0.0], [-2.54595412, 2.54595412, -0.0], [0.0, -0.0, 7.62295876]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[27 27 27 27 30 30 31 31]
101679,AuScP,f4a49009-2942-4a68-8306-4b40c07c027e,"[[2.65368124, 2.65368124, -0.0], [-2.65368124, 2.65368124, -0.0], [0.0, -0.0, 8.61001414]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[79 79 21 21 15 15]
17623,Co2YSb,8069e03a-02d7-4ebf-8fed-97922f6a82e2,"[[0.0, 3.2175486, 3.2175486], [3.2175486, 0.0, 3.2175486], [3.2175486, 3.2175486, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[27 27 39 51]
86289,Rh2MnPb,5d900928-64dd-42db-9ac9-2bee44cd045e,"[[2.79519702, 2.79519702, 0.0], [-2.79519702, 2.79519702, 0.0], [-0.0, -0.0, 8.39105311]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[45 45 45 45 25 25 82 82]
52493,OsTiSi,37a6923b-111b-449e-a1d7-4c3b24d27b9b,"[[2.94403203, 2.94403203, 0.0], [-2.94403203, 2.94403203, -0.0], [-0.0, 0.0, 5.84562481]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[76 76 22 22 14 14]
55805,Ir2AuSn,6c419e71-426a-4dcf-a463-52f9ffa724f7,"[[3.0100715, 3.0100715, -0.0], [-3.0100715, 3.0100715, -0.0], [-0.0, -0.0, 7.38296083]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999999], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[77 77 77 77 79 79 50 50]
74878,Ni2MoBi,e3583887-a548-4835-addc-0f961c47025b,"[[2.73641765, 2.73641765, -0.0], [-2.73641765, 2.73641765, 0.0], [-0.0, -0.0, 8.25224832]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[28 28 28 28 42 42 83 83]
102087,Au2NiSn,c26878fb-d740-4ea6-a976-61d6c6ac088e,"[[2.8853535, 2.8853535, -0.0], [-2.8853535, 2.8853535, 0.0], [-0.0, -0.0, 8.28646611]]","[[0.4999999999999999, 3.847788579892053e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.847788579892053e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[79 79 79 79 28 28 50 50]
83437,Mo2ZrIn,2a019222-1cfa-47a5-8afb-a73934d89739,"[[3.14798749, 3.14798749, -0.0], [-3.14798749, 3.14798749, -0.0], [-0.0, -0.0, 7.44694278]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 42 42 40 40 49 49]
44918,Hf2VSn,272c2214-abb3-4362-9121-01647ba31c19,"[[3.01777262, 3.01777262, 0.0], [-3.01777262, 3.01777262, -0.0], [-0.0, -0.0, 8.79083959]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[72 72 72 72 23 23 50 50]
38750,PdMoAs,ae5e3c55-a5d3-4a05-8b70-a2f036e008c0,"[[2.55169142, 2.55169142, -0.0], [-2.55169142, 2.55169142, -0.0], [0.0, 0.0, 8.29663625]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[46 46 42 42 33 33]
76338,Cu2HfPb,c90aecc4-52e9-44a0-b5af-154d794b0198,"[[2.93468249, 2.93468249, 0.0], [-2.93468249, 2.93468249, 0.0], [0.0, 0.0, 8.39694906]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[29 29 29 29 72 72 82 82]
30347,NbVSi,56f3f2f8-36ef-404a-b7b9-3092faab17b8,"[[2.45575831, 2.45575831, -0.0], [-2.45575831, 2.45575831, 0.0], [0.0, 0.0, 8.44740843]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[41 41 23 23 14 14]
16003,FeOsAs,24173316-7af4-4512-9c0b-536b4dbc55c0,"[[-0.0, 2.82079387, 2.82079387], [2.82079387, 0.0, 2.82079387], [2.82079387, 2.82079387, -0.0]]","[[0.25000000000000006, 0.25000000000000006, 0.24999999999999986], [0.5000000000000001, 0.5000000000000001, 0.4999999999999997], [0.0, 0.0, 0.0]]",[26 76 33]
81751,NbFeAs,675ce37a-958d-4f7c-afe9-4e1ef42f490f,"[[2.50213253, 2.50213253, 0.0], [-2.50213253, 2.50213253, 0.0], [-0.0, -0.0, 7.88421012]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[41 41 26 26 33 33]
26809,Y2ZnGa,54b6dbc8-542c-40ba-8582-c24190aaf0b5,"[[3.57481679, 3.57481679, -0.0], [-3.57481679, 3.57481679, -0.0], [-0.0, -0.0, 7.1688917]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[39 39 39 39 30 30 31 31]
103334,La2FeP,9b49dfee-eb66-444a-893d-bd7a1bf284d4,"[[2.98340389, 2.98340389, 0.0], [-2.98340389, 2.98340389, -0.0], [-0.0, -0.0, 10.33367624]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[57 57 57 57 26 26 15 15]
11154,Mn2VSb,2a1cc732-4a27-43a3-8296-ae6c929e62fb,"[[0.0, 2.9880528, 2.9880528], [2.9880528, 0.0, 2.9880528], [2.9880528, 2.9880528, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[25 25 23 51]
