,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom),total magnetization (muB/f.u.),band gap (eV)
32884,MoNiBi,ca6e34a3-ca1e-4488-8dd4-90336d2664b6,"[[3.13172463, 3.13172463, 0.0], [-3.13172463, 3.13172463, 0.0], [-0.0, -0.0, 6.38250818]]","[[0.49999999999999983, 2.7755575615628904e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999997, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.4999999999999997, 0.49999999999999983, 0.5]]",[42 42 28 28 83 83],-5.964152191666667,0.7963090766666667,0.8483190500000001,1.74557555,0.0
193,Sc2TiPb,8fc32d37-f619-4d8b-8310-40847ce8c8b3,"[[3.05211175, 3.05211175, -0.0], [-3.05211175, 3.05211175, -0.0], [-0.0, -0.0, 9.47200799]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[21 21 21 21 22 22 82 82],-6.0991947325,-0.1285583187499996,0.1936202680298996,1.4445416,
96252,Re2FeSb,44ce8c21-6061-4ecc-8820-36c418440409,"[[3.35543854, 3.35543854, 0.0], [-3.35543854, 3.35543854, -0.0], [0.0, 0.0, 5.53393293]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[75 75 75 75 26 26 51 51],-8.76569860125,0.5349316824999999,0.5544356256250005,2.00165545,
60438,La2FeAs,fd4ef122-ba19-44f5-8c10-be4456f064d6,"[[3.67933703, 3.67933703, 0.0], [-3.67933703, 3.67933703, 0.0], [0.0, 0.0, 7.35925223]]","[[0.4999999999999996, 0.9999999999999998, 0.25], [0.9999999999999998, 0.49999999999999983, 0.75], [0.4999999999999996, 0.9999999999999998, 0.75], [0.9999999999999999, 0.5000000000000001, 0.25], [0.9999999999999999, 1.810472401260544e-16, 0.5], [0.4999999999999998, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.4999999999999998, 0.49999999999999983, 0.5]]",[57 57 57 57 26 26 33 33],-6.04866466875,-0.3844957225000005,0.4007405362499994,1.13782735,0.0
90268,Cd2FeAl,f5c005b2-e1d4-4a30-ab46-59d6e5427c24,"[[2.85458584, 2.85458584, 0.0], [-2.85458584, 2.85458584, 0.0], [0.0, -0.0, 8.39878297]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[48 48 48 48 26 26 13 13],-3.1348976575,0.2424764475,0.4083702125000003,1.5847583,
85365,Ru2AgBi,2405afd6-eff6-42fd-8d01-445bb725caa9,"[[2.96499926, 2.96499926, 0.0], [-2.96499926, 2.96499926, -0.0], [-0.0, -0.0, 7.96054663]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 47 47 83 83],-5.5866817625,0.6784426037500007,0.6784426037500007,0.5067256,
16579,Co2TiBi,d63eeec3-450a-4aea-99cb-38f28a4bf687,"[[2.70308683, 2.70308683, -0.0], [-2.70308683, 2.70308683, 0.0], [-0.0, -0.0, 8.26678882]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 22 22 83 83],-6.29156804,0.1470141175000012,0.4064857434465669,0.21326535,
24203,Zn2FeSn,d4f374e5-59a6-49c5-b748-f2dd17d6d8a8,"[[2.77775734, 2.77775734, 0.0], [-2.77775734, 2.77775734, 0.0], [-0.0, -0.0, 8.24763895]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[30 30 30 30 26 26 50 50],-3.43084575,0.1502360412499999,0.1909734221935699,1.955116,
72463,Fe2HfGe,4c3a06f2-95c7-4e93-a685-57776ab5ec98,"[[2.69028023, 2.69028023, -0.0], [-2.69028023, 2.69028023, -0.0], [0.0, 0.0, 7.98564317]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 26 26 72 72 32 32],-7.90106350875,-0.1556864562499997,0.2748500243750004,2.9723167,
36441,Rh2CoGa,b21c7b51-7ba4-407e-a4f6-3aa343303dac,"[[2.99432559, 2.99432559, 0.0], [-2.99432559, 2.99432559, -0.0], [-0.0, -0.0, 5.99718618]]","[[0.4999999999999999, 3.707756525652765e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.4999999999999999, 3.707756525652765e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[45 45 45 45 27 27 31 31],-6.4034772475,-0.2884217187499995,0.0653859012500002,2.98555555,0.0
