,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),Tc (K)(KKR-FULL)
1377,Sc2YIn,8390db0b-1284-4a34-8958-53f779170f19,"[[3.2531251, 3.2531251, 0.0], [-3.2531251, 3.2531251, 0.0], [0.0, 0.0, 9.55773754]]","[[0.49999999999999983, 3.412789211903214e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.49999999999999983, 3.412789211903214e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]",[21 21 21 21 39 39 49 49],-5.58418159625,-0.2128287362499996,179.6
19525,Ni2FeAs,2d2c3c82-b376-4923-86dc-e7510f5b95c8,"[[2.57919102, 2.57919102, -0.0], [-2.57919102, 2.57919102, 0.0], [0.0, 0.0, 7.16705213]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[28 28 28 28 26 26 33 33],-6.03131694125,-0.0553714125000004,246.3
73616,Co2RhGe,d97fcde6-9807-42c3-a434-481ed9dad912,"[[2.66013652, 2.66013652, -0.0], [-2.66013652, 2.66013652, 0.0], [0.0, 0.0, 7.0170822]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 45 45 32 32],-6.60092540125,-0.1387478412499989,651.7
17032,Co2FeGa,5a2bec01-887e-4ffd-9e7a-865188e1eb64,"[[0.0, 2.85948263, 2.85948263], [2.85948263, -0.0, 2.85948263], [2.85948263, 2.85948263, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[27 27 26 31],-6.5432194825,-0.2308919849999995,1324.0
105415,Lu2ZrSb,4c5a8ead-2793-431c-bc51-cf0df3625e00,"[[3.16640575, 3.16640575, -0.0], [-3.16640575, 3.16640575, 0.0], [-0.0, 0.0, 9.93085844]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[71 71 71 71 40 40 51 51],-5.75582553875,-0.3631230400000005,6.7
15354,Fe2RhGa,5da66133-d4db-46ab-813e-ce8a6411afa4,"[[2.57174576, 2.57174576, -0.0], [-2.57174576, 2.57174576, -0.0], [-0.0, -0.0, 7.94851881]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 26 26 45 45 31 31],-6.82978799375,-0.1536578862500004,749.6
36760,RhZrAl,2bbefb42-5f25-4017-acc6-f0c33b1d8e1d,"[[0.0, 3.09209327, 3.09209327], [3.09209327, -0.0, 3.09209327], [3.09209327, 3.09209327, 0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[45 40 13],-7.095492213333333,-0.5904443600000006,38.8
8484,Cr2MnAs,0a492a42-090f-44c3-bb84-197ba434a736,"[[2.66975702, 2.66975702, -0.0], [-2.66975702, 2.66975702, 0.0], [-0.0, -0.0, 7.17481553]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 24 24 25 25 33 33],-8.156624335,-0.0146247937500003,1240.8
5030,Ti2PtGa,3e0e72b0-f43a-487e-86ec-9107662c7675,"[[2.83521105, 2.83521105, 0.0], [-2.83521105, 2.83521105, 0.0], [0.0, -0.0, 7.85191463]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[22 22 22 22 78 78 31 31],-6.82916664,-0.6755392525000001,33.5
20186,Ni2RuAl,cd921c6d-7b7c-4cb0-8e9c-d1d6e7d47398,"[[2.6503663, 2.6503663, -0.0], [-2.6503663, 2.6503663, 0.0], [0.0, 0.0, 7.01432708]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[28 28 28 28 44 44 13 13],-6.24300142,-0.2601907262499994,290.5
